question,A,B,C,D,correct_answer
At which temperature does bacteria die?,A. 102F,B. 106F,C. 149F,D. None of These,C
Which is the Coldest Planet ?,A. Earth,B. Venus,C. Mercury,D. Uranus,D
Elastic rebound theory explains:,A. formation of rocks,B. structure of solids,C. causes of earthquake,D. None of these,C
Pomology is the study of: _________?,A. Mind,B. Bones,C. Fruits,D. Birds,C
The SI unit of Dipole moment is __________?,A. Debye,B. Cm,C. Weber,D. Coulumb,A
Tetanus is a _________ infection.,A. Viral,B. Bacterial,C. Fungal,D. Parasitic,B
Parkinson is a disease of____________?,A. Eyes,B. Brain,C. Heart,D. Lungs,B
Chlorophyll contains _____metal.,A. Iron,B. Calcium,C. Magnesium,D. Potassium,C
Tuberculosis is a _________ infection?,A. Viral,B. Bacterial,C. Fungal,D. Parasitic,B
The distance between Earth and Sun is greatest during ____________?,A. Apehelion,B. Astronomical,C. Lopsided,D. Astronomi,A
"As we go higher into the atmosphere, the air becomes?",A. Thinner,B. Denser,C. Warmer,D. Visible,A
Vaccination is synonymous with ___________ immunity?,A. Artificial Active,B. Natural Active,C. Allergy,D. None of These,A
Thanatology is the study of _________?,A. Careers,B. Being,C. Death,D. Soul,C
Nearest star to the sun is: ___________?,A. Proxima Centauri,B. Alpha Scorpius,C. Beta Orionis,D. Vegetal,A
_______ bacterial disease affects Eye?,A. Trachoma,B. Rickets,C. Osteoporosis,D. Gum disease,A
Deficiency of vitamin E in the human body causes __________?,A. Muscle weakness and vision problem,B. Bone problem,C. Rickets,D. Osteoporosis,A
A solar eclipse occurs when _________?,A. Venus between Earth and sun,B. Moon is between Earth and sun,C. Sun is between Earth and moon,D. Moon is between Earth and Neptune,B
_______ is the average distance between the Earth and the sun ?,A. Moon unit,B. Light unit,C. Astronomical unit,D. Solar unit,C
The correct age of solar system is approximately __________?,A. 4.3 Billion years,B. 4.4 Billion years,C. 4.5 Billion years,D. None of these,C
Which region of the Moon is known as Dark side?,A. Equator,B. South Pole,C. North Pole,D. None of these,B
Deficiency of vitamin “D” in human body can causes____?,A. Gum disease,B. Skin problem,C. osteoporosis and fractures,D. Eye-sighted weakness,C
What is the most abundant form of matter in the universe?,A. Plasma,B. Liquid,C. Gas,D. Solid,A
Bolometer measures: ____________?,A. Breadith of tree,B. Burning capacity,C. Heat radiation,D. Bearing capacity,C
The distance between the earth and the sun is smallest in the month of _________?,A. February,B. January,C. December,D. April,B
The chief constituents of gobar gas is_________?,A. Methane,B. Oxygen,C. Hydrogen,D. Carbon monoxide,A
Dr. James Watson discovered the structure of DNA in __________?,A. 1953,B. 1955,C. 1957,D. 1857,A
How Many Brains Does an Octopus Have?,A. 7,B. 8,C. 9,D. 6,C
Outer layer of the human skin is called __________?,A. Hypodermis,B. Dermis,C. Hemidermis,D. Epidermis,D
There are almost _______of nephrons in the each kidney in human body?,A. 5 million,B. 3 million,C. 1 million,D. 10 million,C
Which of the following is the strongest & longest bone of human body?,A. Stapes,B. Femur,C. Tibia,D. None of the above,B
Which of the following is the largest gland of the Human body _________?,A. Lungs,B. Liver,C. Skin,D. Gall Bladder,B
Water soluble Vitamins are _________?,A. A & D vitamins,B. B & C vitamins,C. A & K vitamins,D. B & K vitamins,B
"Vitamins A,D,E & _______ are fat soluble .",A. Vitamin B,B. Vitamin C,C. Vitamin K,D. AOT,C
RBCs are also called as_______?,A. Leucocytes,B. Erythrocytes,C. Nucleotides,D. AOT,B
WBCs are also called as _________?,A. Leukocytes,B. Lymphocytes,C. Nucleotides,D. Erythrocytes,A
The percentage of blood cells in the Blood of human body is _________?,A. 40%,B. 45%,C. 50%,D. 60%,B
The percentage of plasma in human Blood is _________?,A. 50%,B. 55%,C. 60%,D. 80%,B
Mohus scale is used for to measure ____________?,A. Hardness,B. Humidity,C. Pressure,D. Temperature,A
Which of the following is not a Fat-soluble vitamin?,A. Vitamin A,B. Vitamin B,C. Vitamin D,D. Vitamin E,B
Which amongst the following cannot pass through vacuum?,A. Light,B. Radiation,C. Sound,D. None of These,C
The respiratory problem common in smokers is______?,A. tuberculosis,B. Emphysema,C. Asthma,D. Cancer,B
Despite the fluctuation in human body temperature. The temperature of human body remains at _________?,A. 35 °C,B. 37 °C,C. 42 °C,D. 54 °C,B
A fathom is equal to ________feets?,A. 6,B. 5,C. 4,D. 3,A
What is a Geiger Counter used to measure?,A. Radioactivity,B. Pressure,C. Water flow,D. None of these,A
What is the name of newsly discovered galaxy which may be the earliest and most distant galaxy ever discovered in April 2022?,A. HD1,B. GN-z11,C. Milky way,D. None of these,A
Who is the Father of Genetics?,A. Gregor Mendel,B. Alexendar,C. Darewin,D. Louis pasture,A
Which animal can create the loudest sound among any living creature?,A. Donkey,B. Monkey,C. Humpback whales,D. None of these,C
Which one of the following is not a true fruit?,A. Apple,B. Grapes,C. dates,D. plum,A
Metal are highly ___________ ?,A. Electropositive,B. Electronegativity,C. Both of these,D. Neutral,A
What measurement scale is used to determine wind speed?,A. Richter Scale,B. Beaufort Scale,C. Meter-second scale,D. None of these,B
Earthquake waves travel faster in __________?,A. Water,B. Flexibl rock,C. Air,D. Soil,A
Activity of Brain is recorded by ____________?,A. ECG (Electrocardiogram),B. EEG (Electroencephalogram),C. X-Ray,D. None of these,B
The second largest moon “titan” is belongs to which planet?,A. Uranus,B. Venus,C. Saturn,D. Mercury,C
Which planet of our solar system is name after a female?,A. Uranus,B. Saturn,C. Venus,D. Mercury,C
The winter solstice in the southern Hemisphere occurs on __________?,A. 22 December,B. 23 September,C. 21 June,D. 22 March,C
The Summer solstice in the Northern Hemisphere happens on: __________?,A. 21 July,B. 22 December,C. 22 March,D. 21 June,D
Which element has the third most % in human body?,A. Oxygen 65%,B. Calcium 75%,C. Hydrogen 10%,D. Carbon 18%,C
Which element has the second most % in human body?,A. Oxygen 65%,B. Calcium 75%,C. Hydrogen 10%,D. Carbon 18%,D
Which element has the most % in human body?,A. Oxygen 65%,B. Calcium 75%,C. Hydrogen 10%,D. Carbon 18%,A
A fresh egg when placed in salt water will __________ ?,A. sink  and  go  to  the  bottom,B. sink  but  will  not  go  to  the  bottom,C. Float,D. Burst,C
JAUNDICE is the disease of __________?,A. Heart,B. Liver,C. Lungs,D. Brain,B
Maximum biological damage is caused by ____________?,A. Gamma rays,B. Alpha rays,C. Beta rays,D. Microwaves,A
Which diagnostic scan gives some of the highest radiation doses in diagnostic radiography ?,A. CT-Scan,B. Ultrasound,C. MRI,D. X-Ray,A
The importance of perspiration is to ___________?,A. Eliminate  body  odours,B. Improve  the  general  health,C. Open  the  pores  in  the  skin,D. Regulate  body  temperature,D
Which medicine can be used to make urine red in colour?,A. isoniazir,B. iron capsule,C. Rifampicin,D. Omeprazole,C
Velometer is used to measure?,A. Rain,B. Speed of Air,C. Wind pressure,D. Heat,B
Water soluble vitamins are released by__________?,A. Sweat,B. Tears,C. Injections,D. Urine,D
Which hormone is necessary for the production of milk in the mother’s breast?,A. FSH,B. prolactin,C. A.D.H.,D. Oxytocin,B
The spray bottles used as window or household cleaner or perfume spray works on: __________?,A. Capillary action,B. Bernoulli’s Principle,C. Pascal’s Law,D. Stoke’s Law,B
Selenology is the study of __________?,A. Stars,B. Galaxy,C. Moon,D. Planets.,C
1 Carat is equal to __________?,A. 0.2 g,B. 0.3 g,C. 0.4 g,D. 0.5 g,A
What is unit of Pressure?,A. Barr,B. Torr,C. Pascal,D. All of these,D
What divides the Earth into the Northern and the Southern Hemispheres?,A. Axis of rotation,B. Equator,C. North Pole,D. South Pole,B
Triple point of water is _________?,A. 271 K,B. 272.2 K,C. 273.16 K,D. None of these,C
Chili contain which vitamin?,A. Vitamin A,B. Vitamin B,C. Vitamin C,D. None of these,C
What is ‘Tokamak’ ?,A. An Israeli radar system,B. An American anti-missile system,C. A defence collaboration between Japan and South Korea,D. A device used in nuclear-fusion research for magnetic confinement of plasma,D
Stars in the sky appear to twinkle due to _________?,A. a series of refractions,B. a series of reflections,C. a surface tension phenomenon,D. multiple diminishing brightness,A
Nowadays Milk is not considered balanced diet because it is lacking in ___________?,A. Magnesium and Vitamin D,B. Iron and Vitamin B,C. Iron and Vitamin C,D. calcium and vitamin C,C
Nearest star to sun is: __________?,A. Proxima Centurai,B. Alpha Scorpii,C. Beta Orionis,D. Vega,A
Pure limestone is called _______?,A. Aluminum Oxide,B. Calcium Carbonate,C. Calcium Sulphate,D. None of these,B
A bird sitting on a high tension electric wire does not get electrocuted because:,A. Sit has high resistance,B. the body is earthed,C. it does not form a closed path for the flow of current,D. its feet are good insulators,C
The color which we see when our eyes are closed?,A. Black,B. Grey,C. Eigengrau,D. None of these,C
Which metal pollute the air of a big city?,A. Copper,B. Chromium,C. Lead,D. Cadmium,C
Potassium nitrate is used in__________?,A. Medicine,B. Fertilizer,C. Salt,D. Glass,B
The gases used in different types of welding would include:__________?,A. oxygen and hydrogen,"B. oxygen, hydrogen, acetylene and nitrogen","C. oxygen, acetylene and argon",D. oxygen and acetylene,D
Which of the gas is not known as green house gas?,A. Methane,B. Nitrous oxide,C. Carbon dioxide,D. Hydrogen,D
Which of the following is a tissue?,A. Blood,B. Lungs,C. Kidney,D. pancreas,A
The chemical name of chalk is,A. Sodium nitrate,B. Zinc sulfate,C. Sulphuric acid,D. Calcium carbonate,D
1 tonne = _____ kg?,A. 100,B. 400,C. 1000,D. 4000,C
Main use of salt in diet is to : ___________?,A. ease the process of cooking,B. increase the taste,C. produce small amount of hydrochloric acid required for digestion,D. inclease solubility of food particles in water,C
To measure the speed of an approaching car a police officer shines?,A. light waves on it,B. microwaves on it,C. radio waves on it,D. ultra high frequency waves on it,C
A photostat machine works on    _____________?,A. electromagnetic image making,B. magnetic image making,C. thermal image making,D. electrostatic image making,D
The owl can see most clearly in total darkness because:,A. it has squint eyes,B. it has light bulbs in its eyes provided by nature,C. it produces infrasonic sounds,"D. it has large eyes with orbs directed forward, giving it binocular sight",D
The audio signals of TV are  _____________?,A. Amplitude modulated,B. Frequency modulated,C. fixe modulated,D. Velocity modulated,B
The source of the Sun’s energy is the process of ____________?,A. Photoelectric emission,B. Nuclear fission,C. Nuclear fusion,D. Thermionic emission,C
The snow on the mountains does NOT melt all at once when it is heated by the sun because:,A. it becomes very hard,B. it reflects most of the heat from the sun,C. it has a low specific heat capacity,D. it has a high latent heat of fusion,D
"What is the name of that system, which uses radioactivity to decide the period of materials of-pre-historic period ?",A. Radium dating,B. Uranium dating,C. Carbon dating,D. Deuterium dating,C
Milk tastes sour when kept in the open for sometime due to the formation of __________?,A. lactic acid,B. citric acid,C. acetic acid,D. carbonic acid,A
Which of the following statements is true when we see ‘rainbow’ ?,A. We face sun and raindrops,B. The Sun remains behind us and we face raindrops,"C. In light rainfall, we face Sun",D. The sky remains clear and the sun is at lower position in the sky,B
Rain drops fall from great height Which among the following statements is true regarding it?,"A. they fall with that ultimate velocity, which are different for different droplets",B. they fall with same ultimate velocity,C. their velocity increases and they fall with different velocity on the earth,D. their velocity increases and they fall with same velocity on the earth,A
Why the needle of iron swims on water surface when it is kept gently ?,"A. It will remain under the water, when it will displace more water than its weight",B. the density of needle is less than that of water,C. due to surface tension,D. due to its shape,C
Which among the following waves is used for communication by artificial satellites ?,A. Micro waves,B. Radio waves,C. A. M.,D. Infra-red  waves,A
Erythrocyte is another name for a ___________?,A. white blood Cells,B. Platelet,C. Red Blood cells,D. Plasma,C
Hydrology is the study of ___________?,A. Height,B. High temperature,C. High Mountain,D. Rainfall,D
Which of the following is good conductor of heat but bad conduct of electricity?,A. Aluminium,B. Titanium,C. Abestos,D. Mica,D
The blood pressure is denoted as following?,A. Systolic Pressure / Diastolic Pressure,B. Diastolic Pressure / Systolic Pressure,C. Venous Pressure / Systolic Pressure,D. Systolic Pressure / Pulse Pressure,A
Which of the following are not deflected by electric and magnetic fields ?,A. Alpha rays,B. Beta rays,C. Gamma rays,D. None of these,C
Weather and climate are driven by what source(s) of energy ?,A. Earth’s internal heat,B. Solar radiation,C. Gravity,D. Both (a) and (c),B
Volcanoes can also be caused by _____ so called ‘hot spots’.,A. Ash,B. Gases,C. Mantle Plumes,D. None of these,C
Volcanoes are usually located on ________?,A. Divergent plate boundaries,B. Convergent plate boundaries,C. Hotspots,D. All of these,D
Which ocean does not commonly experience tropical cyclones ?,A. Western Pacific,B. North Atlantic,C. South Atlantic,D. Indian Ocean,C
The value of acceleration due to gravity is minimum on which of these planets?,A. Mars,B. Jupiter,C. Mercury,D. Neptune,C
Which of the following is mainly used for light patrol engines ?,A. Kerosene oil,B. Paraffin oil,C. Heavy Fuel oil,D. Gasoline,D
Which of the following is liquid fuel ?,A. Patrol,B. Kerosene,C. Paraffin oil,D. All of above,D
pH value of Blood or Red Blood Cells ?,A. 5,B. 6,C. 7.35-7.45,D. 8-10,C
pH value of water is _________?,A. 5,B. 5-6,C. 8.7-10.5,D. 6.5-8.5,D
What is the magnetic field at any point in the open space inside the toroid?,A. zero,B. one,C. Depends on the current in the turns,D. Depends on number of turns,A
Study of fruit is called ___________?,A. Pomology,B. Plriculture,C. Sericulture,D. Apiculture,A
Which of the following Vitamin is required for Normal Blood Circulation ?,A. Vitamin A,B. Vitamin K,C. Vitamin D,D. Vitamin E,B
1 Meter = _________ millimeters?,A. 10000 millimeters (mm),B. 10 millimeters (mm),C. 100 millimeters (mm),D. 1000 millimeters (mm),D
1 Meter = _________?,A. 1000 centimeters (cm),B. 100 centimeters (cm),C. 10 centimeters (cm),D. 10000 centimeters (cm),B
An astronaut sees the colour of the sky as: _________?,A. Blue,B. White,C. Red,D. Black,D
The position of an element in the Periodic Table is determined by its __________ number?,A. Electron,B. Proton,C. Neutron,D. None of these,B
Which among the following is correct about Saliva of a Healthy Human?,A. It is slightly acidic,B. It is slightly saline,C. It is slightly alkaline,D. It is neutral,C
Which of the Following Hormones Regulate Blood Sodium and Potassium Levels in the Body?,A. Aldosterone,B. Cortisol,C. Glycogens,D. Pheromones,A
Calcium level in the blood is regulated by the: ___________?,A. Thyroid,B. Parathyroid,C. Adrenal medulla,D. A and B,D
Which part of the brain controls the Pituitary Gland?,A. Hindbrain,B. Hypothalamus,C. Hippocampus,D. Midbrain,B
The process which is essential for continuing and survival of species is  __________?,A. Digestion,B. Respiration,C. Reproduction,D. Excretion,C
The part of brain involved in balance and precision in movements is: __________?,A. Cerebrum,B. Cerebellum,C. Thalamus,D. Medulla oblongata,B
Which one of the following waves are used by the common TV remote control?,A. Radio waves,B. Lasers,C. Infrared waves,D. Ultrasonic waves,C
"Recently, scientists observed the merger of giant ‘blackholes’ billions of light-years away from the Earth. What is the significance of this observation?",A. ‘Higgs boson particles’ were detected.,B. Gravitational waves’ were detected.,C. Possibility of inter-galactic space travel through ‘wormhole’ was confirmed.,D. It enabled the scientists to understand ‘singularity’.,B
What is the largest cell in the human body?,A. Ovum,B. RBCs,C. Sperm cell,D. Neuron,A
Total number of moons in entire Solar System are:__________?,A. More than 100,B. More Than 200,C. More than 300,D. More than 400,B
Wireless transmission  can be done via _____________?,A. A Infrared waves,B. Radio waves,C. Microwaves,D. All of these,D
"The Aurora Borealis, also known as ________?",A. Western lights,B. Southern lights,C. Eastern lights,D. Northern lights,D
Which one of the following elements the drum of a Photostat machine is made up of: _________?,A. Aluminium,B. Selenium,C. Barium,D. None of these,B
Chromosomes are made up of __________ ?,A. DNA only,B. DNA and RNA,C. Proteins only,D. DNA and Proteins,D
A shooting star is _________?,A. Sun,B. A comet,C. A meteor,D. An steroid,C
Cataract is a disease of ________?,A. Eyes,B. Throat,C. Lungs,D. Circulatory system,A
Combustion can not take place without __________?,A. Hydrogen,B. Air,C. Oxygen,D. Argon,B
Main constituent in air is ___________?,A. Oxygen,B. Nitrogen,C. Hydrogen,D. Helium,B
Proteins are made up of _________?,A. Polynucleotide,B. Polypeptide,C. Oxyacetylene,D. None of these,B
Permanent hardness of water is due to the presence of __________?,A. Sodium bicarbonate,B. Calcium sulfate,C. Calcium bicarbonate,D. None of these,B
The Shape of earth is _________?,A. Elliptical,B. Oblate Spheroid,C. Oval,D. Spherical,B
Which Planet is also known as Winter Planet?,A. Mercury,B. Earth,C. Jupiter,D. Uranus,C
Which bird weighs less than a penny?,A. Goldcrest,B. Weebill,C. Hummingbird,D. None of these,C
Which is the only planet that rotates clockwise?,A. Jupiter,B. Venus,C. Earth,D. Mercury,B
__________ Protect us from diseases?,A. Vitamins,B. minerals,C. Carbohydrates,D. None of these,A
The major source of quick energy is ___________?,A. Carbohydrates,B. Minerals,C. vitamins,D. None of these,A
All the bones of the body make a frame called?,A. Skelton,B. Tissue,C. Skull,D. None of these,A
Skin is _____ thick?,A. 2mm,B. 2cm,C. 3mm,D. 3cm,A
How many bones are in Human Skull?,A. 22,B. 25,C. 26,D. None of these,A
How many bones in each hand?,A. 26,B. 27,C. 28,D. 30,B
how many bones in each foot ?,A. 26,B. 27,C. 28,D. 30,A
How many muscles in human body?,A. 632,B. 639,C. 642,D. None of these,B
An average human heart beats about time in a minute?,A. 72 times,B. 85 times,C. 90 times,D. 120 times,A
the delicate lungs are protected by a cage that is called ______?,A. luvcage,B. Ribcage,C. both A & B,D. None of these,B
______ are the Breathing center of the body?,A. Nose,B. Air,C. Lungs,D. None of these,C
The part of ear that is visible is called _______?,A. External Ear,B. Pinna,C. Internal ear,D. both A & B,D
An adult have permanent teeth?,A. 30,B. 40,C. 50,D. 32,D
A three year child has _______ teeth?,A. 20,B. 30,C. 10,D. None of these,A
The stomach is the shape like bag?,A. J Shape,B. E shape,C. T shape,D. None of these,A
New Born Baby Brain weight is about________?,A. 300 grams,B. 400 grams,C. 250 grams,D. None of these,B
Which bird has legs but can’t walk ?,A. Loons,B. Grebes,C. Hummingbirds,D. None of these,C
Which part of the human body contains the most gold?,A. Liver,B. Skin,C. Toenails,D. Kidney,C
Planets having largest amount of Carbon Dioxide is ____________?,A. Mercury,B. Jupiter,C. Mars,D. Venus,D
Milky Way Galaxy in which type?,A. spiral,B. Round,C. Square,D. Linear,A
What is unit of conductivity?,A. Ohm,B. Watt,C. mho,D. None of these,C
Parses is a unit used to measure: __________?,A. Distance,B. Time,C. Speed,D. Force,A
Who among the following discovered the sunspots?,A. Johannes Kepler,B. Einstein,C. Copernicus,D. Galileo,D
What is the percentage of salt water on earth surface?,A. 93%,B. 95%,C. 97%,D. 76%,C
The maximum risk to air travel is from?,A. Clouds,B. Rainfall,C. Fogs,D. Strong Winds,C
"Mercury is the closest planet to the Sun, but Venus is hotter than Mercury because of its_________?",A. Pressure,B. axis,C. atmosphere,D. surface,C
Which part of the atmosphere are you breathing right now?,A. Bathysphere,B. Stratosphere,C. Troposphere,D. Lonosphere,C
The earth revolves around the sun at a speed of__________?,A. 18.5 km/sec,B. 26.6 km/sec,C. 29 km/sec,D. 31.9 km/sec,C
What is the degree of rotation of the earth each hour?,A. 1°,B. 5°,C. 7.5°,D. 15°,D
Only object of earth can be seen from Moon What it is?,A. Hanging Garden,B. Light House,C. Wall of China,D. A Squire,C
Water present in watermelon?,A. 92%,B. 93%,C. 94%,D. 95%,A
Leprosy is the oldest disease in the world caused by which microorganism?,A. Virus,B. Fungi,C. Bacteria,D. None,C
The Distance of Neptune From Sun is ________ astronomical unit.,A. 28,B. 30,C. 32,D. None of these,B
Our atmosphere consists of__________ CO2?,A. 0.03 to 0.04% CO2,B. 0.3 to 0.4% CO2,C. 3 to 4% CO2,D. None of these,A
Our atmosphere consists of___________ Oxygen approximately?,A. 11% Oxygen approximately,B. 21% Oxygen approximately,C. 31% Oxygen approximately,D. None of these,B
Our atmosphere comprises of __________ Nitrogen?,A. 38% Nitrogen,B. 58% Nitrogen,C. 78% Nitrogen,D. None of these,C
Curie is a unit of measuring the intensity of ___________?,A. Radioactivity,B. Quantity of Heat,C. Work or Energy,D. Power,A
Newton metre is a unit of __________.,A. Substance,B. Length,C. torque,D. Work,C
Lux is a unit of __________?,A. Luminous Flux,B. Illumination,C. Luminous Intensity,D. Focus,B
Which of the following vitamin is known as folate?,A. B-9,B. B-1,C. B-6,D. vitamin-D,A
The Shortest air route from Moscow to San Francisco is?,A. Over the South Pole,B. Over the North Pole,C. Over the Atlantic Ocean,D. None of the above,C
Which of the following is a volcanic plateau?,A. Antrum Plateau,B. Brazilian Plateau,C. Anatolia Plateau,D. Tibetan Palteau,A
The most abundant element in sea water is?,A. Chlorine,B. Sodium,C. Sulfur,D. Magnesium,A
"An abnormally great desire for food, excessive eating is called?",A. Dysphagia,B. Bulimia nervosa,C. Phagia,D. None of the above,B
The _______ test is a color perception test for red-green color deficiencies.,A. Hemiplegia,B. Ishihara,C. Lalopathy,D. None of the above,B
________ is an instrument used in determining the directions of movement of clouds.,A. Nephoscope,B. Stethoscope,C. Metroscope,D. None of the above,A
_________ means a line on a map connecting points having the same atmospheric pressure at a given time or on average over a given period.,A. Isobar,B. Isobath,C. Isohel,D. Isohyet,A
Which of the following vitamin is known as Folate?,A. vitamin B-6,B. vitamin B-9,C. vitamin B-2,D. vitamin B-12,B
The antiparticle of an electronic is _______?,A. Positron,B. Proton,C. Alpha particular,D. None of these,A
What cells are involved in bone remodeling?,A. Osteoblasts,B. Osteoclasts,C. Osteocytes,D. All of these,D
How many elements are in modern periodic table?,A. 118,B. 181,C. 108,D. 188,A
Which of the following vitamin is known as Pyridoxine?,A. Vitamin B-1,B. Vitamin B-2,C. Vitamin B-6,D. Vitamin B-12,C
Which is the most electro-negative element among the following _________?,A. Fluorine,B. Bromine,C. Sodium,D. Oxygen,A
The metal that is used as a catalyst in the hydrogenation of oils is _______?,A. Ni,B. Pb,C. Cu,D. Pt,A
Biggest award in the field of science is the __________?,A. Noble Prize,B. UNESCO peace prize,C. Right livelihood prize,D. All of these,A
How many elements are in Modern periodic table?,A. 112,B. 118,C. 114,D. 116,B
Which of the following vitamin is known as Riboflavin?,A. vitamin B-1,B. vitamin B-2,C. vitamin B-3,D. vitamin B-6,B
Which is known as ‘Lifeblood of industries’?,A. Finance,B. Transport,C. logistic,D. Supplies,A
Which of the following vitamin is known as Pantothenic acid?,A. vitamin B-1,B. vitamin B-2,C. vitamin B-3,D. vitamin B-5,D
Which of the following vitamin is known as Biotin?,A. vitamin B-3,B. vitamin B-4,C. vitamin B-5,D. vitamin B-7,D
Chiken egg is composed of _______ cells?,A. One cell,B. 100 cells,C. 1000 cells,D. One million cells,A
Which of the following vitamin is known as Cobalamin?,A. vitamin B-1,B. vitamin B-3,C. vitamin B-9,D. vitamin B-12,D
Ibex is a wild alpine ________ found in Himalaya?,A. Dog,B. Hen,C. Sheep,D. Goat,D
Dyne is the unit of?,A. Force,B.   Pressure,C.  Velocity,D.  Momentum,A
Quality rating of deisel is called?,A. Octane,B. Cetane,C. Protane,D. Butane,B
Which instrument is used to measuring height above sea leve?,A. Hygrometer,B. Hypsometer,C. Pyrometer,D. Solometer,B
"When WBCs greatly increased in number, they cause a disease called?",A. Anaemia,B. Leukaemia,C. Haemophilia,D. Diarrhoea,B
Highest Clouds are  ___________?,A. Cirrocumulus,B. Cirrus,C. Cirrostratus,D. All of these,D
"When a bullet penetrates into a target, the kinetic energy of a bullet is converted into ?",A. Potential energy,B. Heat energy,C. Both B&D,D. Mechanical energy,C
Spinal card controls all ___________?,A. Sexual activities,B. Thinking activities,C. Reflex activities,D. none,C
Caustic Soda is extensively used for making __________?,A. Surf,B. Soap,C. Plaster of Paris,D. Gum,B
The back thigh muscles are also called__________?,A. Gluteal,B. Hamstring,C. Sartorious,D. Deltoid,B
Saliva helps in the digestion of?,A. Starch,B. Proteins,C. Lipids,D. Fats,A
H5N1 virus is caused of_______?,A. AIDs,B. fever,C. Bird flu,D. non,C
Blood glucose level is raised by the following except __________?,A. Carbohydrates,B. Insulin,C. Cholesterol,D. Epinephrine,B
Enzymes are organic catalysts made up of __________?,A. Carbohydrates,B. Proteins,C. Nucleic Acid,D. Fats,B
Which among the following lens is used to correct Presbyopia?,A. Bifocal,B. Convex,C. Concave,D. Cylindrical,A
Fat is digested in which part of body?,A. Small intestine,B. Mouth,C. Large intestine,D. Spleen,A
Plant have ________ while animals lack it.,A. starch,B. cellulose,C. protein,D. fat,B
Atmospheric temperature increases at the higher altitudes due to________?,A. Conduction,B. Convection,C. Inversion,D. Radiation,B
Gold and Silver are known as _________ metals ?,A. Coinage metals,B. Noble metals,C. Both A & B,D. None of these,C
Name the famous Pakistani scientist who worked under the supervision of Albert Einstein?,A. Dr Abdul Qadeer,B. Riazuddin Siddiqui,C. Ammar Muhammadi,D. Dr Abdul Salam,B
Anti Diuretic hormone (ADH) is secreted by?,A. Pituitary gland,B. Pancreas,C. Thyroid,D. Parathyroid,A
Which of the following is used to control rods in nuclear fission?,A. Graphite,B. Heavy Water,C. Cadmium,D. All of these,C
Zika virus was named after the Zika forest of which country?,A. Nigeria,B. Angola,C. Uganda,D. Zimbabwe,C
Marble and Slate are which type of rock?,A. Igneous,B. Sedimentary,C. Metamorphic,D. Non of These,C
Cancer can be treated by ___________?,A. Antibiotics & vaccines,B. Radiotherapy & antibiotics,C. Chemotherapy & radiotherapy,D. Antibiotics & Chemotherapy,C
Which one of the following is called the Blood Bank?,A. Kidneys,B. Liver,C. Spleen,D. Heart,C
Dioptre is used to measure?,A. optical power,B. luminous intensity,C. power,D. distance of heavenly bodies,A
Coldest point in atmosphere is?,A. Tropopause,B. Mesopause,C. Exopause,D. None of these,B
An important ore of chromium is ___________?,A. Argon,B. Chromite,C. Mirage,D. Diamond,B
"NASA unveils the new Moon suit, which is known formally as____________?",A. Exploration Extravehicular Mobility Unit (xEMU),B. Spacesuit,C. Berkut,D. Non of these,A
A rocket needs the speed of _______ to escape from earth’s gravity?,A. 22 miles per second,B. 15 miles per second,C. 12 miles per second,D. 7 miles per second,D
Which one of the following is known as graveyard of RBCs?,A. Liver,B. Spleen,C. Pancreas,D. None of these,B
Huge cloud of gass and dust in the universe is called?,A. Constellation,B. Satellite,C. Meteorite,D. Nebula,D
Celestial body that affects tides of Ocean is?,A. Sun,B. Moon,C. Galaxy,D. Meteorites,B
"Apart from Venus, which planet rotates from east to west?",A. Jupiter,B. Mars,C. Uranus,D. Neptune,C
Another name of RDX is ___________?,A. Cyanohydrin,B. Dextran,C. Cyclohexane,D. Cyclonite,D
What is the chemical name of vitamin E?,A. Calciferol,B. Tocopherol,C. Riboflavin,D. Phylloquinone,B
Heat exchanger tubes are never made of:,A. Plain Carbon Steel,B. Stainless Steel,C. Lead,D. Copper,C
Which of following is not a digestive enzyme in human body?,A. Pepsin,B. Trypsin,C. Gastrin,D. Ptyalin,C
Which body part in Human never grow?,A. Pupil of eye,B. Kidney,C. Liver,D. None of these,A
Which is the second largest component in milk?,A. Protein,B. Fat,C. Vitamin,D. None of these,B
Clotting of blood vessels is called?,A. Thrombosis,B. Fibrosis,C. Agglutination,D. None,A
Uncertainty Principle was given by?,A. Werner Heisenberg,B. Farady,C. John locke,D. None of these,A
The weight of an average human male brain is about?,A. 1 gr,B. 1200 gr,C. 1350 gr,D. 1500 gr,C
Garnet is a______________?,A. Sedimentary rock,B. Igneous rock,C. Mineral,D. None of these,C
Washing machine is working on the principle of?,A. Photoelectric effect,B. Electric-magnetic induction,C. Centrifugation,D. None of these,C
Our sun is classified as ?,A. A blue giant,B. Yellow draft,C. Supernova,D. None of above,B
Archeology is the branch of:,A. Anthropology,B. Cultural Anthropology,C. Biological Anthropology,D. None of these,A
Diabetes mellitus affects human system following a disorder in _____________?,A. Anatomy,B. Behaviour,C. Metabolism,D. Excretion,C
The unit of home electricity energy consumption is ?,A. Watt hour,B. Joule hour,C. Killowatt hour,D. Kilo joule hour,C
Red-green colour blindness in a man is known as:,A. Prolanopia,B. Deuteranopia,C. both a&b,D. Marfan’s syndrome,B
