question,A,B,C,D,correct_answer
"A trader marked the price of the T.V. 30% above the cost price of the T.V. and gave the purchaser 10% discount on the marked price, thereby gaining Rs.340. Find the cost price of the T.V?",A. Rs.2250,B. Rs.2000,C. Rs.2150,D. Rs.2200,B
A trader marked the price of a car 20% above the cost price and allowed the purchaser 5% discount on the marked price there by gained Rs.8400. Find the cost price of the car?,A. Rs.60000,B. Rs.75000,C. Rs.68400,D. Rs.78400,A
At what price must an article costing Rs.47.50 be marked in order that after deducting 5% from the list price. It may be sold at a profit of 25% on the cost price?,A. Rs.62.50,B. Rs.72.50,C. Rs.75.00,D. Rs.80.00,A
A dealer purchased an article at 3/4 of its list price and sold 50% more than the list price. Find his gain percent?,A. 75%,B. 50%,C. 100%,D. 80%,C
"Oranges are bought at 11 for a rupee and an equal number more at 9 a rupee. If these are sold at 10 for a rupee, find the loss or gain percent?",A. 1% gain,B. 2% gain,C. 1% loss,D. 2% loss,C
If goods be purchased for Rs.840 and one-fourth be sold at a loss of 20% at what gain percent should the remainder be sold so as to gain 20% on the whole transaction?,A. 30%,B. 33%,C. 33 1/3%,D. 35%,C
"A person bought an article and sold it at a loss of 10%. If he had bought it for 20% less and sold it for Rs.75 less, he could have gained 25%. What is the cost price?",A. Rs.250,B. Rs.225,C. Rs.275,D. Rs.200,A
"A man buys an article and sells it at a profit of 20%. If he had bought it at 20% less and sold it for Rs.75 less, he could have gained 25%. What is the cost price?",A. Rs.370,B. Rs.375,C. Rs.350,D. Rs.300,B
I bought two books; for Rs.480. I sold one at a loss of 15% and other at a gain of 19% and then I found each book was sold at the same price. Find the cost of the book sold at a loss?,A. Rs.28,B. Rs.280,C. Rs.140,D. Rs.70,B
A man sells two articles for Rs.3600 each and he gains 30% on the first and loses 30% on the next. Find his total gain or loss?,A. 9% loss,B. 400,C. 4000,D. 324,A
A man buys two articles for Rs.1980 each and he gains 10% on the first and loses 10% on the next. Find his total gain or loss percent?,A. 1% gain,B. 1% loss,C. 10% loss,D. no gain or no loss,A
"A reduction of 20% in the price of salt enables a lady to obtain 10 kgs more for Rs.100, find the original price per kg?",A. 2 3/2,B. 2 2/3,C. 2.5,D. 3,C
"A reduction of 25% in the price of oil enables a house wife to obtain 5kgs more for Rs.800, what is the reduced price for kg?",A. Rs.20,B. Rs.30,C. Rs.40,D. Rs.25,C
"A reduction of 40% in the price of bananas would enable a man to obtain 64 more for Rs.40, what is reduced price per dozen?",A. Rs.5,B. Rs.4,C. Rs.2,D. Rs.3,D
"A man purchases 8 pens for Rs.9 and sells 9 pens for Rs.8, how much profit or loss does he make?",A. 20.98% profit,B. 20.98% loss,C. 20.89% profit,D. 20.89% loss,B
A dishonest dealer professes to sell goods at the cost price but uses a false weight and gains 25%. Find his false weight age?,A. 700 gms,B. 750 gms,C. 800 gms,D. 850 gms,C
"Ramees professes to sell his goods at the cost price but he made use of 900 grms instead of a kg, what is the gain percent?",A. 11%,B. 11 2/9%,C. 11 1/9%,D. 10%,C
"A dishonest dealer professes to sell goods at the cost price but uses a weight of 800 grams per kg, what is his percent?",A. 20%,B. 25%,C. 30%,D. 15%,B
A tradesman by means of his false balance defrauds to the extent of 20%? in buying goods as well as by selling the goods. What percent does he gain on his outlay?,A. 20%,B. 45%,C. 44%,D. 48%,C
"Ramees sold two bicycles, each for Rs.990. If he made 10% profit on the first and 10% loss on the second, what is the total cost of both bicycles?",A. Rs.2000,B. Rs.1980,C. Rs.1891,D. Rs.1750,A
By selling 50 meters of cloth. I gain the selling price of 15 meters. Find the gain percent?,A. 35%,B. 30%,C. 40%,D. 42 6/7%,D
The cost price of 13 articles is equal to the selling price of 11 articles. Find the profit percent?,A. 15 5/15%,B. 18 2/11%,C. 16 2/3%,D. 30%,B
By selling 12 pencils for a rupee a man loses 20%. How many for a rupee should he sell in order to gain 20%?,A. 8,B. 9,C. 12,D. 16,A
The C.P of 15 books is equal to the S.P of 18 books. Find his gain% or loss%?,A. 16 2/3% loss,B. 100/3% loss,C. 50/3% profit,D. 100/3% loss,A
The C.P of 10 pens is equal to the S.P of 12 pens. Find his gain % or loss%?,A. 16 2/3% profit,B. 50/6% profit,C. 16 2/3% loss,D. 100/3% loss,C
"By selling 150 mangoes, a fruit-seller gains the selling price of 30 mangoes. Find the gain percent?",A. 20%,B. 25%,C. 18%,D. 30%,B
If a man lost 4% by selling oranges at the rate of 12 a rupee at how many a rupee must he sell them to gain 44%?,A. 7,B. 8,C. 9,D. 10,B
"By selling a house for Rs.45000, it was found that 1/8 of the outlay was gained, what ought the selling to price to have been in order to have lost 5 p.c?",A. Rs.38750,B. Rs.38000,C. Rs.40000,D. Rs.42000,B
"A man sells a horse for Rs.800 and loses something, if he had sold it for Rs.980, his gain would have been double the former loss. Find the cost price of the horse?",A. Rs.900,B. Rs.875,C. Rs.850,D. Rs.860,D
A trader bought a car at 20% discount on its original price. He sold it at a 40% increase on the price he bought it. What percent of profit did he make on the original price?,A. 10%,B. 11%,C. 12%,D. 15%,C
"What profit percent is made by selling an article at a certain price, if by selling at 2/3rd of that price, there would be a loss of 20%?",A. 20%,B. 25%,C. 13 1/30%,D. 12%,A
"A single discount equivalent to the discount series of 20%, 10% and 5% is_______?",A. 25%,B. 30%,C. 31.6%,D. 33.5%,C
"The list price of an article is Rs.65. A customer pays Rs.56.16 for it. He was given two successive discounts, one of them being 10%. The other discount is________?",A. 3%,B. 4%,C. 5%,D. 6%,B
The sale price sarees listed for Rs.400 after successive discount is 10% and 5% is________?,A. Rs.357,B. Rs.340,C. Rs.342,D. Rs.338,C
"A watch was sold at a loss of 10%. If it was sold for Rs.140 more, there would have been a gain of 4%. What is the cost price?",A. Rs.1000,B. Rs.1140,C. Rs.860,D. Rs.760,A
"The cost price of a radio is Rs.1500 and it was sold for Rs.1230, find the loss %?",A. 18%,B. 9%,C. 15%,D. 6%,A
"An article is bought for Rs.600 and sold for Rs.500, find the loss percent?",A. 16 4/3%,B. 100/3%,C. 16%,D. 16 2/3%,D
"An article is bought for Rs.675 and sold for Rs.900, find the gain percent?",A. 16 2/3%,B. 30%,C. 33 1/3%,D. 33 1/6%,C
"A cycle is bought for Rs.900 and sold for Rs.1080, find the gain percent?",A. 16 2/3%,B. 20%,C. 18%,D. 25%,B
"The population of a town increased from 1,75,000 to 2,62,500 in a decade. The average percent increase of population per year is:________?",A. 4.37%,B. 5%,C. 6%,D. 8.75%,B
"Ramees buys good worth Rs. 6650. He gets a rebate of 6% on it. After getting the rebate, he pays sales tax @ 10%. Find the amount he will have to pay for the goods.",A. Rs. 6876.10,B. Rs. 6999.20,C. Rs. 6654,D. Rs. 7000,A
"Ghafoor went to the stationers and bought things worth Rs. 25, out of which 30 paise went on sales tax on taxable purchases. If the tax rate was 6%, then what was the cost of the tax free items?",A. Rs. 15,B. Rs. 15.70,C. Rs. 19.70,D. Rs. 20,C
"Two tailors X and Y are paid a total of Rs. 550 per week by their employer. If X is paid 120 percent of the sum paid to Y, how much is Y paid per week?",A. Rs. 200,B. Rs. 250,C. Rs. 300,D. None of these,B
"Three candidates contested an election and received 1136, 7636 and 11628 votes respectively. What percentage of the total votes did the winning candidate get?",A. 57%,B. 60%,C. 65%,D. 90%,A
"The tank full of petrol in Haroon’s motorcycle lasts for 10 days, if he starts using 25% more every day for how many days will the tank full of petrol last?",A. 5days,B. 6days,C. 7days,D. 8days,D
"If Mobeen while selling two goats at the same price makes a profit of 10% on one goat and suffers a loss of 10% on the other, he",A. Makes no profit and no loss,B. Makes a profit of 1%,C. Suffers a loss of 1%,D. Suffers a loss of 2%,C
A gardener increases the area of his rectangular garden by increasing its length by 40% and decreasing by 20%. The area of the new garden?,A. Has increase by 20%,B. Has increase by 12%,C. Has increase b 8%,D. Is exactly the same as the old area,B
If the price of petral is increased by 20% by what percentage should the consumption be decreased by the consumer if the expenditure on petrel remains unchanged?,A. 16 2/3%,B. 6 2/3%,C. 8%,D. 15%,A
"In a survey it was found that 80% of those surveyed owned a car while 60% of those surveyed owned a mobile phone, if 55% owned both a car and a Mobile phone, What percent of those surveyed owned a car or a mobile phone or both?",A. 65%,B. 80%,C. 85%,D. 97.5%,C
Two numbers X and Y are respectively 20% and 28% less than a third number Z. By what percentage is the number Y less than that of the number X?,A. 8%,B. 9%,C. 10%,D. 11%,C
"In an examination, every candidate took physics or mathematics or both 65.8% took physics and 59.2% took mathematics the total number of candidates was 2000. How many candidates took both physics and mathematics?",A. 750,B. 500,C. 250,D. 125,B
"In a company, 60% of the employees are men, of this 40 % are drawing more than Rs. 50000 per year. 36% of the total employees of the company draw more than Rs.50000 per year then what is the percentage of women who are drawing less than Rs. 5000 per year?",A. 70%,B. 60%,C. 40%,D. 30%,A
"A city has a population of 300000 out of which 180000 are males 50% of the population is illiterate if 70 % of the males are literate, then the number of literate females is_________?",A. 24000,B. 30000,C. 54000,D. 60000,A
"In a test a candidate attempted only 8 Questions and secured 50% marks in each of the questions if the obtained a total of 40% in the test and all questions in the test carried equal marks, how many questions were there in the test?",A. 8,B. 10,C. 15,D. 16,B
"In a town 45% population read magazine A, 55% magazine B, 40% read Magazine C, 30% read magazines A and B, 15% read magazines B and C, 25% read magazines A and C and 10% read all the three magazines. What percentage do not read any magazine?",A. 10%,B. 15%,C. 20%,D. 25%,C
Candidates in a competitive examination consisted of 60% men and 40% women 70% men and 75% women cleared the qualifying test and entered the final test where 80% men and 70% women were successful? Which of the following statements is correct?,A. Success rate is higher for women,B. Overall success rate is below 50%,C. More men cleared the examination than women,D. Both ‘A’ and ‘B’,C
The price of a certain item is increased by 15 %. If a consumer wants to keep his expenditure on the item same as before how much percent must he reduce his consumption of that item?,A. 10 20/23 %,B. 13 1/23 %,C. 16 2/3 %,D. 15 %,B
If the numerator of a fraction is increased by 250 % and the denominator is increased by 400 % the resultant fraction is 7/19. What is the original fraction?,A. 10/19,B. 5/9,C. 9/5,D. 19/7,A
"The value of a plant depreciates by 10 % annually. If the present value of the plant is Rs. 100000, then what will be its value after 2 years?",A. Rs. 8000,B. Rs 10000,C. Rs. 18000,D. Rs. 81000,D
"Three candidates in an election received 1136, 7636 and 11628 votes respectively. What percentage of the total votes did the winning candidate get?",A. 11. 6 %,B. 60 %,C. 76. 4 %,D. None of these,D
10 % of the electorate did not cast their votes in an election between two candidates. 10 % of the votes polled were found invalid. The successful candidate got 54 % of the valid votes and won by a majority of 1620 votes. The number of voters enrolled on the voter’s list was___________?,A. 25000,B. 33000,C. 35000,D. 40000,A
In an election between two candidates 75 % of the voters cast their votes. Out of which 2 % of the voters were declared invalid. A candidate got 9261 votes which were 75 % of the total valid votes. The total number of voters enrolled in that election was:__________?,A. 10000,B. 16400,C. 16800,D. 18000,C
In an election between two candidates. One got 55 % of the total valid votes. 20 % of the votes were invalid. If the total number of votes was 7500. The number of valid votes that the other candidate got was_________?,A. 2700,B. 2900,C. 3000,D. 3100,A
"8 % of the voters in an election did not cast their votes in the election, there were only two candidates. The winner by obtaining 48 % of the total votes defeated his contestant by 1100 votes. The total number of voters in the election was_________?",A. 21000,B. 2200,C. 23500,D. 27500,D
A reduction of 20 % in the price of rice enables a person to buy 3.5 kg more rice for Rs. 385. The original price of rice is:________?,A. Rs. 20 per kg,B. Rs. 22.50 per kg,C. Rs. 25 per kg,D. Rs. 27.50 per kg,D
The sum of two numbers is 2490. If 6.5 % of one number is equal to 8.5 % of the other then the numbers are:_________?,"A. 989, 1501","B. 1011, 1479","C. 1401, 1089","D. 1411, 1079",D
Of the 1000 inhabitants of a town 60 % are males of whom 20 % are literate. If of all the inhabitants 25 % are literate. Then what percent of the females of the town are literate?,A. 22. 5 %,B. 27.5 %,C. 32. 5 %,D. 37.5 %,C
"In two successive years, 100 and 75 students of a school appeared at the final examination. Respectively 75 % and 60 % of them passed. The average rate of pass is:_________?",A. 68 4/7 %,B. 78 %,C. 80 %,D. 80 4/7 %,A
The quality of water that should be added to reduce 9 ml. Lotion containing 50 % alcohol to a lotion containing 30 % alcohol is_________?,A. 3 ml,B. 4 ml,C. 5 ml,D. 6 ml,D
Fresh grapes contain 80 % water dry grapes contain 10 % water. If the weight of dry grapes is 250 kg. What was its total weight when it was fresh?,A. 1000 kg,B. 1100 kg,C. 1125 kg,D. 1225 kg,C
Fresh fruit contains 68 % water and dry fruit contains 20 % water. How much dry fruit can be obtained from 100 kg of fresh fruits?,A. 32 kg,B. 40 kg,C. 52 kg,D. 80 kg,B
If the numerator of a fraction is increased by 140 % and the denominator is increased by 150 % the resultant fraction is 4/15 what is the original fraction?,A. 3/5,B. 5/16,C. 2/9,D. None of these,D
In measuring the sides of a rectangle errors of 5 % and 3 % in excess are made. The error percent in the calculates area is_________?,A. 8. 35 %,B. 7.15 %,C. 8.15 %,D. 6. 25%,C
The price of petrol is increased by 25 %. By how much percent a car owner should reduce his consumption of petrol. So that expenditure on petrol would not be increased?,A. 25 %,B. 30 %,C. 50 %,D. 20 %,D
If the price of the eraser is reduced by 25% a person buy 2 more erasers for a rupee. How many erasers available for a rupee?,A. 8,B. 6,C. 4,D. 2,B
"In a school, 40 % of the students play football and 50 % play cricket. If 18 % of the students play neither football nor cricket, the percentage of students playing both is________?",A. 40 %,B. 32 %,C. 22 %,D. 8 %,D
"Out of 100 students, 50 failed in English and 30 in Mathematics. If 12 students fail in both English and Mathematics. Then the number of students who passed in both the subjects is__________?",A. 26,B. 28,C. 30,D. 32,D
A dishonest dealer claims to sell his goods at the cost price but uses a false weight of 900 gm for 1 kg what is his gain percent?,A. 13 %,B. 11 1/9 %,C. 11.25 %,D. 12 1/9 %,B
A bucket contains 2 litres more water when it is filled 80 % in comparison when it is filled 66 2/4 % what is the capacity of the bucket?,A. 10 litres,B. 15 litres,C. 66 2/3 litres,D. 20 litres,B
A period of 4 hrs 30 min is what percent of a day?,A. 18 3/4 %,B. 20 %,C. 16 3/4 %,D. 19 %,A
When a number is first increased by 10 % and then reduced by 10 % the number:__________?,A. does not change,B. decreased by 1 %,C. increased by 1 %,D. None of these,B
Two number is first increased by 10 % and then reduced by 10 % the number:__________?,A. 2:5,B. 4:5,C. 6:7,D. 3:5,B
If the side of a square is increased by 25 %. Then its area is increased by:__________?,A. 25 %,B. 55%,C. 40.5 %,D. 56.25 %,D
A typist uses a paper 30 cm by 15 cm. He leaves a margin of 2.5 cm at the top as well as at the bottom and 1.25 cm on either side. What percentage of paper area is approximately available for typing?,A. 65 %,B. 70 %,C. 80 %,D. 60%,B
The length of a rectangle is increased by 10 % and breadth decreased by 10 % Then the area of a new rectangle is:_________?,A. neither increased nor decreased,B. increased by 1 %,C. decreased by 1 %,D. decreased by 10 %,C
10 decameters are equal to_______?,A. 1 Hectometers,B. 2 Hectometers,C. 3 Hectometers,D. 4 Hectometers,A
"If 17xy+7 =19xy ,then 4xy = ?",A. 2,B. 3,C. 1/2,D. 14,D
"What is the ratio of Faheem’s salary to Imran’s salary to Naveed’s salary if Faheem makes 80,000 rupees ,Imran 70,000 rupees and Naveed makes 50,000 rupees ?",A. 80:70:60,B. 8:7:5,C. 4:7:5,D. 7:8:5,B
Two numbers are in the ratio 5:4 and their difference is 10.What is the largest number?,A. 40,B. 50,C. 60,D. 30,B
1 yard =___________?,A. 3 feet,B. 6 feet,C. 2.4 feet,D. 12 feet,A
A and B are two fixed points 5 cm apart and c is a point on AB such that AC = 3 cm. If the length of AC is increased by 6 % the length of CB is decreased by:_________?,A. 6 %,B. 7 %,C. 8 %,D. 9 %,D
"5 % of the income of A is equal to 15 % of the income of B and 10 % of the income of B is equal to 20 % of the income of c. If the income of C is Rs. 2000. What is the total income of A, B and C?",A. Rs. 14000,B. Rs 16000,C. Rs. 18000,D. Rs. 12400,C
A reduction of 20 % in the price of sugar enables a purchaser to obtain 3kg more for Rs. 120. The original price of sugar per kg is:________?,A. Rs. 15,B. Rs. 12,C. Rs. 10,D. Rs. 8,C
In 50 gm alloy of gold and silver the gold is 80 % by weight. How much gold should be mixed with this alloy so that the weight of gold would become 95 %?,A. 200 gm,B. 150 gm,C. 50 gm,D. 10 gm,B
The ratio of the number of boys and girls is 3:2 if 20 % of the boys and 30 % of the girls are scholarship holders then the percentage of students who do not get scholarship is_________?,A. 50,B. 72,C. 75,D. 76,D
Out of an earning of Rs. 720 Ram spends 65 %. How much does he save?,A. Rs. 350,B. Rs. 390,C. Rs. 252,D. Rs. 316,C
"In an examination, 65 % of the total examinees passed if the number of failures is 420, the total number of examinees is:_________?",A. 500,B. 1200,C. 1000,D. 1625,B
"Rs. 395 are divided among A, B and C ins such a manner that B gets 25 % more than A and 20 % more than C. The share of A is:",A. Rs. 198,B. Rs. 120,C. Rs. 180,D. Rs. 195,B
605 sweets were distributed equally among children in such a way that the number of sweets received by each child is 20 % of the total number of children. How many sweets did each child receive?,A. 11,B. 24,C. 45,D. cannot be determined,A
Two numbers are less than q third number by 30 % and 37 % respectively. How much percent is the second number less than the first?,A. 10 %,B. 15 %,C. 20 %,D. 25 %,A
The length of a rectangle is increased by 60 %. By what percent would the width have to be decreased to maintain the same area?,A. 37 ½ %,B. 60 %,C. 75 %,D. none of these,A
If the side of a square is increased by 30 %. Its area is increased by:_________?,A. 9 %,B. 30 %,C. 60 %,D. 69 %,D
"The price of an article has been reduced by 25 %. In order to restore the original price, the new price must be increased by:________?",A. 33 1/3 %,B. 11 1/9 %,C. 9 1/11 %,D. 66 2/3 %,A
p is six times as large as q. The percent that q is less than p is:________?,A. 83 1/3,B. 16 2/3,C. 90,D. 60,A
The population of a town increases 4 % annually but is decreased by emigration annually to the extent of (1/2) %. What will be the increase percent in three years?,A. 9.8,B. 10,C. 10.5,D. 10.8,D
"A man’s basic pay for a 40 hour week is Rs. 20 overtime is paid for at 25 % above the basic rate, in a certain week he worked overtime and his total wage was Rs. 25. He therefore worked for a total of:________?",A. 45 hours,B. 47 hours,C. 48 hours,D. 50 hours,C
On decreasing the price of T.V. sets by 30 % its sale is increased by 20 %. What is the effect on the revenue received by the shopkeeper?,A. 10 % increase,B. 10 % decrease,C. 16 % increase,D. 16 % decrease,D
"Water tax is increased by 20% but its consumption is decreased by 20 %. Then, the increase or decrease in the expenditure of the money is:________?",A. No change,B. 5 % decrease,C. 4 % increase,D. 4 % decrease,D
The price of cooking oil has increased by 25 %. The percentage of reduction that a farming should effect in the use of cooking oil so as not to increase the expenditure on this account is________?,A. 15 %,B. 20 %,C. 25%,D. 30%,B
What will be 80 Percent of a number whose 200 percent is 90?,A. 144,B. 72,C. 36,D. none of these,C
"In an election between two candidates, the candidate who gets 30 % of the votes polled is defeated by 15000 votes. The number of votes polled by the winning candidate is:________?",A. 11250,B. 15000,C. 26250,D. 37500,C
"In a college election, a candidate secured 62 % of the votes and is elected by a majority of 144 votes. The total number of votes polled is:________?",A. 600,B. 800,C. 925,D. 1200,A
A student who secures 20 % marks in an examination fails by 30 marks. Another student who secures 32 % marks gets 42 marks more than those required to pass. The percentage of marks required to pass is:________?,A. 20%,B. 25 %,C. 28%,D. 30%,B
"5 % income of a is equal to 15 % income of B and 10 % income of B is equal to 20 % income of C if the income of c is Rs. 200, then total income of A, B and C is :_________?",A. Rs. 6000,B. Rs. 18000,C. Rs. 20000,D. Rs. 14000,B
75 % of a number when added to 75 is equal to the number. The number is:_______?,A. 150,B. 200,C. 225,D. 300,D
"After spending 40 % in machinery, 25 % in the building, 15 % in raw material and 5 % on furniture, Haris had a balance of Rs. 1305. The money with him was:________?",A. Rs. 6500,B. Rs. 7225,C. Rs. 8700,D. Rs. 1390,C
"A man donated 5 % of his income to a charitable organization and deposited 20 % of the remainder in a bank. If he now has Rs. 1919 left, what is his income?",A. Rs. 2558. 60,B. Rs. 2525,C. Rs. 2500,D. Rs. 2300,B
"Raees credits 15 % of his salary in this fixed deposit account and spends 30 % of the remaining amount on groceries if the cash in hand is Rs. 2380, what is his salary?",A. Rs. 3500,B. Rs. 4000,C. Rs. 4500,D. Rs. 5000,B
The income of a broker remains uncharged though the rate of commission is increased from 4 % to 5 % the percentage of a slump in business is_______?,A. 8 %,B. 1 %,C. 20 %,D. 80 %,C
"The Price of an article is cut by 10%. To restore it to the former value, the new price must be increased by_______?",A. 10 %,B. 9 1/11 %,C. 11 1/9 %,D. 11%,C
What percentage of numbers from 1 to 70 have squares that end in the digit 1?,A. 1,B. 14,C. 20,D. 21,C
The number which exceeds 16% of it by 42 is________?,A. 50,B. 52,C. 58,D. 60,A
"The temperature at noon in LHR ,Pakistan was 6 deg on Monday ,4deg on Tuesday,2deg below zero on Wednesday,3deg below zero on Thursday, 0 deg on Friday ,3 deg on Saturday ,and 6 deg on Sunday. What was the average temperature at noon for the week ?",A. 14 deg,B. -2 deg,C. 2 deg,D. 7 deg,C
"In a class of 120 students , 45 students received a grade of B.What percent of the class received a grade of B ?",A. 75 %,B. 25.6 %,C. 37.5%,D. 18.5%,C
A company has 7348 bars of soap. If the company sells 20% of its bars of soap .how many bars of soap did it sell?,A. 734.8,B. 1469.6,C. 146950,D. 29390,B
"If eggs cost $.06  each ,how much should a dozen eggs cost ?",A. .56,B. $ .80,C. $ .72,D. $.60,C
"If 20 teachers out of a faculty of 80 are transferred, what percentage of the original faculty remains ?",A. 4,B. 16,C. 60,D. 75,D
"The average of two numbers is XY.If one number is equal to X ,the other number is equal to_________?",A. X,B. 2Y,C. XY-X,D. 2 XY -2 X,D
"If 35% of a number is 12 less than 50% of that number, then the number is_________?",A. 40,B. 50,C. 60,D. 80,D
The difference between a number and its two-fifth is 510. What is 10% of that number?,A. 12.75,B. 85,C. 204,D. None of these,B
"If 20% of a number, then 120% of that number will be_________?",A. 20,B. 120,C. 360,D. 720,D
45% of 750 – 25% of 480 =__________?,A. 216,B. 217.50,C. 236.50,D. 245,B
3.5 can be expressed in terms of percentage as?,A. 0.35%,B. 3.5%,C. 35%,D. 350%,D
"Amir saves 32% of his monthly salary. If he spends Rs. 27200, then find his savings?",A. 15400,B. 14300,C. 13200,D. 12800,D
64 is what percent of 80?,A. 80%,B. 70%,C. 60%,D. 64%,D
What percent of 125 is 16?,A. 10 2/5%,B. 12 3/5%,C. 11 1/5%,D. None of these,D
"When 5% is lost in grinding wheat, a country has to import 20 million bags; but when only 2% is lost, it has to import only 15 million bags. Find the quantity of wheat, which grows in the country?",A. 133 1/3 m,B. 150 m,C. 106 2/3 m,D. 166 2/3 m,D
A person was asked to subtract 25% of a number from the original but he subtracted 25 from the number. His answer was 25 more than correct one. What was the original number?,A. 160,B. 180,C. 225,D. 200,D
"In a school of 850 boys, 44% of Muslims, 28% Hindus, 10% Sikhs and the remaining of other communities. How many belonged to the other communities?",A. 173,B. 163,C. 153,D. 143,C
"A person spends 1/5th of his income on the education of his children, and 20% of the remaining on food. If he is left with Rs.576 find his income?",A. Rs.900,B. Rs.800,C. Rs.500,D. Rs.1000,A
"In an examination, 47% failed in English and 54% failed in Mathematics. Find the pass percentage in both the subjects if 31% failed in both the subjects?",A. 70%,B. 37%,C. 53%,D. 30%,D
The salary of a worker is first increased by 30% and afterwards reduced by 30%. What is net change in his salary?,A. 90% increase,B. 45% increase,C. 9% decrease,D. Same as before,C
The population of a town is 45000; 5/9th of them are males and the rest females 40% of the males are married. What is the percentage of married females?,A. 60%,B. 50%,C. 45%,D. 40%,B
"In an examination 40% failed in Urdu, 45% failed in English. If 25% students failed in both the subjects. Then the percentage of failed students is________?",A. 15%,B. 65%,C. 60%,D. 70%,C
"After 38 liters of petrol were poured into the tank, it was still 5% empty. How much petrol must be poured into the tank in order to fill it?",A. 38 liters,B. 40 liters,C. 38.5 liters,D. 2 liters,D
A candidate who gets 30% of the marks fails by 50 marks. But another candidate who gets 45% marks gets 25 marks more than necessary for passing. Find the number of marks for passing?,A. 150,B. 200,C. 250,D. 275,B
"A man saves 20% of his monthly salary. If an account of dearness of things he is to increase his monthly expenses by 20%, he is only able to save Rs. 200 per month. What is his monthly salary?",A. Rs.5000,B. Rs.25000,C. Rs.7500,D. Rs.8500,A
Two numbers are 30% and 37% are less than a third number .How much percent is the second number less than the first?,A. 15%,B. 12%,C. 10%,D. 5%,C
"Nawaz Sahrif spends 10% of his income in house rent, 20% of the rest on his children’s education, 25% of the rest miscellaneous causes. If he now posses Rs. 1944 then his income is_______?",A. Rs.3600,B. Rs.4000,C. Rs.4500,D. Rs.3000,A
"Masood’s salary is reduced by 10% and then reduced salary is increased by 10%. Find ,how many percentage his present salary is less as compared to his previous salary?",A. Nothing,B. 10%,C. 1%,D. 5%,C
There were two candidates in an election. Winner candidate received 62% of votes and won the election by 288 votes. Find the number of votes casted to the winning candidate?,A. 456,B. 744,C. 912,D. 1200,B
"If population of certain city increases at the rate of 5%. If population in 1981 was 138915, then population in 1978 was__________?","A. 1,20,000","B. 1,10,000","C. 1,00,000","D. 90,000",A
"At an examination in which full marks were 500. A got 10% less than B, B got 25% more than C and C got 20% less than D. If A got 360 marks, what percentage of full marks was obtained by D?",A. 70%,B. 90%,C. 80%,D. 75%,C
The tax on a commodity is diminished by 20% but its consumption is increased by 10%. Find the decrease percent in the revenue derived from it?,A. 20%,B. 18%,C. 15%,D. 12%,D
"The amount of water (in ml) that should be added to reduce 9 ml. Lotion, containing 50% alcohol, to a lotion containing 30% alcohol, is__________?",A. 3,B. 4,C. 5,D. 6,D
A mixture of 70 liters of wine and water contains 10% water. How much water must be added to make water 12 ½% of the total mixture?,A. 12 liters,B. 10 liters,C. 4 liters,D. 2 liters,D
"In a factory, there are 40% technicians and 60% non-technicians. If the 60% of the technicians and 40% of non-technicians are permanent employees, then the percentage of workers who are temporary is________?",A. 32%,B. 42%,C. 52%,D. 62%,C
"5% people of a village in Sri Lanka died by bombardment, 15% of the remainder left the village on account of fear. If now the population is reduced to 3553, how much was it in the beginning?",A. 3800,B. 4200,C. 4400,D. 5500,C
"A salesman’s terms were changed from a flat commission of 5% on all his sales to a fixed salary of Rs.1000 plus 2.5% commission on all sales exceeding Rs. 4,000. If his remuneration as per new scheme was Rs. 600 more than that by the previous schema, his sales were worth?","A. Rs. 14,000","B. Rs. 12,000","C. Rs. 30,000","D. Rs. 40,000",B
"A and B’s salaries together amount to Rs. 2,000. A spends 95% of his salary and B spends 85% of his. If now their savings are the same, what is A’s salary?",A. Rs.500,B. Rs.750,C. Rs.1250,D. Rs.1500,D
An engineering student has to secure 36% marks to pass. He gets 130 marks and fails by 14 marks. The maximum No. of marks obtained by him is_________?,A. 300,B. 400,C. 350,D. 500,B
If the numerator of a fraction is increased by 20% and its denominator is diminished by 25% value of the fraction is 2/15. Find the original fraction.,A. 1/12,B. 1/8,C. 1/6,D. 1/4,A
Subtracting 10% from X is the same as multiplying X by what number?,A. 80%,B. 90%,C. 10%,D. 50%,B
"If the price of gold increases by 50%, find by how much the quantity of ornaments must be reduced, so that the expenditure may remain the same as before?",A. 27 2/23 %,B. 33 1/3 %,C. 30%,D. 19%,B
A candidate got 35% of the votes polled and he lost to his rival by 2250 votes. How many votes were cast?,A. 7500,B. 5000,C. 6000,D. 3500,A
The salary of a typist was at first raised by 10% and then the same was reduced by 5%. If he presently draws Rs.1045.What was his original salary?,A. 900,B. 950,C. 1000,D. 975,C
A sells his goods 50% cheaper than B but 50% dearer than C. The cheapest is_________?,A. A,B. B,C. C,D. All Alike,C
Two numbers are respectively 20% and 25% more than a third number. The percentage that is first of the second is_________?,A. 80%,B. 85%,C. 96%,D. 125%,C
In an examination 38% of students fail in English and 61% pass in Urdu and 23% fail in both. Find the actual failure percentage?,A. 46%,B. 61%,C. 54%,D. 70%,C
The salary of Mr. X is 30% more than that of Mr. Y . Find what percent of Mr. Y’s salary is less than Mr. X’s?,A. 30%,B. 25 1/13 %,C. 23 1/13 %,D. 22 1/13 %,C
"If y exceeds x by 25%, then x is less than y by__________?",A. 16%,B. 16 1/3 %,C. 20%,D. 16 3/5 %,C
