question,A,B,C,D,correct_answer
World’s most valuable (highest ranked) currency is,A. Kuwait Dinar,B. Bahrain Dinar,C. Oman Rial,D. Jordan Dinar,A
Which city is called “Gateway of India”?,A. Mumbai,B. Dehli,C. Kalcutta,D. Hyderabad Deccan,A
Which country is called “Land of snow”?,A. Switzerland,B. Netherlands,C. Canada,D. Ireland,C
The World’s highest dam “Nurek” is located in?,A. Azerbaijan,B. Tajikistan,C. Kazakhstan,D. Uzbekistan,B
Salwan kot is the old name of,A. Quetta,B. Multan,C. Lahore,D. Sialkot,D
Which member of SAARC has largest literacy rate.,A. Maldives,B. Sri Lanka,C. India,D. Bangladesh,A
The highest peak of Africa is,A. Mt. Elbrus,B. Mt. Kilimanjaro,C. Mt. Everest,D. Mt. Blanc,B
Which of the following Crops is the largest consumer of Water?,A. Rice,B. Sugarcane,C. Wheat,D. Pulses,B
Which Country is called “The Land of Fire”?,A. Azerbaijan,B. Uzbekistan,C. Tajikistan,D. Tukemnestan,A
Which Country is Called “Land of mighty rivers”?,A. Egypt,B. India,C. USA,D. Nigeria,D
Silicon Valley is a nickname for the southern portion of San Francisco Bay area in the northern part of U.S state of,A. Alaska,B. Newyork,C. California,D. Michigan,C
The Hanging Gardens is located in,A. Egypt,B. Iraq (Babylon),C. Iran,D. Jordan,B
The Statue of Liberty was a gift to USA from which of the following Country?,A. Greece,B. Great Britain,C. France,D. Italy,C
The Earthquake Reconstruction and Rehabilitation Authority (ERRA) was established on October 24,A. 2004,B. 2005,C. 2006,D. 2007,B
Ipoh is a city in,A. Indonesia,B. Malaysia,C. China,D. South Korea,B
Taurus mountains are located in?,A. Pakistan,B. Turkey,C. Afghanistan,D. Nepal,B
Which is the Second Largest Landlocked Country in the World?,A. Kazakhstan,B. Azerbaijan,C. Mangolia,D. Uzbekistan,C
Which is called “The valley of ten thousand smokes”?,A. Texas,B. California,C. Alaska,D. Arizona,C
The World’s longest glacier “Lambert” is located in,A. Asia,B. Europe,C. Africa,D. Antarctica,D
The official residence of President of Kyrgyzstan is,A. Blue House,B. White House,C. Chitralada Palace,D. Temple Trees,B
Which Police Force Officially inducted World’s first Operational Robot Police Officer?,A. Dubai,B. Venice,C. Newyork,D. Shanghai,A
What is the name of Pakistan’s research station in Antarctica?,A. Maitri Research Station,B. Jinnah Research Station,C. Iqbal Research Station,D. None of these,B
Which city became the first in the World to have its own Microsoft Font?,A. Dubai,B. Newyork,C. Shanghai,D. Tokyo,A
How many points are there in badminton?,A. 11,B. 21,C. 31,D. 41,B
World immunization day is being celebrated on,A. November 10,B. November 15,C. November 20,D. November 25,A
Arab spring movement in the Middle East countries started from which country?,A. Tunis,B. Egypt,C. Syria,D. Sudan,A
Brazuca was the official match ball of FIFA World Cup 2014. Bazuca means?,A. Success with Unity,B. Brazilian Culture,C. Grave Culture,D. Our Fellow,D
“Tehrir square” also known as “Martyr Square” is located in,A. Turkey,B. Syria,C. Egypt,D. Tunis,C
HDI stands for,A. Human Development Infrastructure,B. Human Development Industry,C. Human Development Index,D. Human Development Institute,C
Athens is the new name of,A. Greece,B. Athinai,C. Cyprus,D. Rome,B
Where is world’s first ATM machine located in,"A. Enfield, North London","B. Manchester, East London","C. Notting Hill, West London",D. None of these,A
Elysee Palace is the official residence of the president of,A. USA,B. Brazil,C. Sweden,D. France,D
Third battle of Panipat began on,"A. January 14, 1761","B. January 14, 1762","C. January 14, 1763","D. January 14, 1764",A
Second battle of Panipat began on,"A. November 5, 1554","B. November 5, 1555","C. November 5, 1556","D. November 5, 1557",C
First battle of Panipat began on,"A. April 21, 1524","B. April 21, 1525","C. April 21, 1526","D. April 21, 1527",C
HRC stands for,A. Human Rights Committee,B. Human Rights Conference,C. Human Rights Cell,D. Human Rights Cooperation,C
Yousaf Saleem has been appointed Pakistan’s first blind civil judge of ___________ court,A. Supreme Court,B. Islamabad High Court,C. Lahore High Court,D. Karachi High Court,C
There are _____ countries in Africa,A. 35,B. 43,C. 54,D. 59,C
IED stands for,A. Installed Explosive Device,B. Implanted Explosive Device,C. Improvised Explosive Device,D. Instantaneous Explosive Device,C
PTM stands for,A. Pashtun Tajir Movement,B. Pashtun Tahaffuz Movement,C. Pashtun Tehreek Movement,D. Pashtun Tribe Movement,B
Which state of USA is called the mother of president?,A. Texas,B. Virginia,C. California,D. Florida,B
GMT stands for?,A. Greenwich mean time,B. Giant meter television,C. General management time,D. A & B,A
"In which year Pakistan was world champion of Cricket, Hockey, Squash & Snooker?",A. 1990,B. 1992,C. 1994,D. 1996,C
Who is the only cricket team to win their inaugural test match?,A. Australia,B. Pakistan,C. Ireland,D. India,A
Where is the Attock Refinery?,A. Attock,B. Rawalpindi,C. Swat,D. Peshawar,B
Which of the following is the commercial crop?,A. Wheat,B. Cotton,C. Rice,D. None,B
Which country has largest area under cultivation?,A. India,B. USA,C. China,D. Pakistan,A
What happens when sun’s rays are vertical on the equator?,A. Days are of greater duration than nights,B. Days are of equal duration as nights,C. Days are of smaller duration than nights,D. None,B
Where proposed Kala Bagh dam is located?,A. Kabul,B. Indus,C. Chenab,D. Hub,B
10 downing street is the official residence of the prime Minister of which country?,A. UK,B. USA,C. Russia,D. France,A
Favorite place for Hollywood film production is?,A. Virginia,B. Los Angeles,C. Hawaii,D. New Jersey,B
A system of wind in which wind blows spirally toward the center of low pressure is called?,A. Quasars,B. Cyclone,C. Meteors,D. Comets,B
A piece of land surrounded by water on three sides is called?,A. Bay,B. Peninsula,C. Erosion,D. Lagoon,B
“International day of the UN Peacekeepers ” is celebrated every year on,A. 29 May,B. 10 December,C. 24 October,D. 4 July,A
The famous book; Al – Qanun was written by the Muslim scientist?,A. Jabar bin Hayyan,B. Zakariya Al – Razi,C. Abu Ali Sina,D. Abdul Qasim Majreeti,C
Polo game originated from,A. Gilgit Baltistan,B. Iran,C. USA,D. Subcontinent,B
World Inventor’s Day is celebrated on,A. 9th November,B. 8th April,C. 31st April,D. 23rd April,A
World Tuberculosis Day is observed on,A. 21st March,B. 24th March,C. 26th March,D. 25th March,B
World’s Oldest Cave Paintings has recently been discovered in,A. Singapore,B. Vietnam,C. Malaysia,D. Indonesia,D
Which country in the the world is carbon negative country?,A. Singapore,B. Turkey,C. Bhutan,D. Poland,C
In which year was OIC founded?,A. 1970,B. 1975,C. 1980,D. 1969,D
What is the length of Karakoram Highway?,A. 810 miles,B. 910 miles,C. 710 miles,D. None of these,A
Largest Gulf in the World is,A. Persian Gulf,B. Mexico Gulf,C. Gulf of Oman,D. Gulf of Africa,B
Hockey was introduced in the Asian Games in?,A. 1958 in Tokyo,B. 1962 in Jakarta,C. 1966 in Bangkok,D. 1970 in Bangkok,A
First International Peace Congress was held in London in?,A. 1564 AD,B. 1843 AD,C. 1845 AD,D. 1545 AD,B
"During World War II, when did Germany attack France?",A. 1941,B. 1940,C. 1942,D. 1945,B
"Georgia, Uzbekistan and Turkmenistan became the members of UNO in?",A. 1991,B. 1992,C. 1993,D. 1994,B
Fire temple is the place of worship of which of the following religion?,A. Taoism,B. Judaism,C. Zoroastrianism (Parsi Religion),D. Shintoism,C
Each year World Red Cross and Red Crescent Day is celebrated on,A. May 8,B. May 18,C. June 8,D. June 18,A
What is the second largest desert in the world after the Sahara desert?,A. Gobi Desert,B. Arabian Desert,C. Kalahari Desert,D. Libyan Desert,B
Who was the first Emperor in China?,A. Qin Shi Huagdi,B. Sun Yat Sen,C. Kublai Khan,D. None of these,A
Which bird with a distinctive call lays its eggs in the nests of other birds?,A. Cuckoo,B. Sparrow,C. Parrot,D. Humming bird,A
Which continent comprises the land around the South Pole?,A. Asia,B. Africa,C. Antarctica,D. Europe,C
Which country is the most popular destination for foreign tourists?,A. Switzerland,B. France,C. Germany,D. Australia,B
How many squares has a chessboard?,A. 24,B. 52,C. 45,D. 64,D
Which is Australia’s largest city by population,A. Sydney,B. Melbourne,C. Perth,D. None of these,A
What is the name of the large salty lake which lies between Israel and Jordan?,A. Salt Lake,B. Dead Sea,C. Death Lake,D. None of these,B
What is the world’s largest living mammal?,A. Elephant,B. Blue Whale,C. Shark,D. Giraffe,B
In which US state is the city of San Diego?,A. California,B. Arizona,C. Florida,D. Virginia,A
How many white stars are on the national flag of the USA,A. 20,B. 30,C. 40,D. 50,D
What are the three main languages of Switzerland,"A. German, French and Italian","B. German, French and English","C. German, French and Spanish","D. English, French and Italian",A
Which country is the world’s largest producer of coffee?,A. Taiwan,B. UK,C. Brazil,D. Switzerland,C
"What is the capital of Queensland, Australia?",A. Brisbane,B. Brussels,C. Beijing,D. Doha,A
What is the standard monetary unit of Turkey?,A. Lira,B. Penny,C. Euro,D. Dollar,A
What is the official language of Mexico?,A. Spanish,B. French,C. Italian,D. English,A
The total Area of the Capital of Pakistan ‘Islamabad’ is?,A. 800 sq Km,B. 850 sq Km,C. 900 sq Km,D. 906 sq Km,D
Where is the tomb of Mughal Emperor Jahangir?,A. Sialkot,B. Multan,C. Lahore,D. Karachi,C
Which city in Switzerland was the headquarters of the League of Nations?,A. Brussels,B. Geneva,C. Canberra,D. none of these,B
Who was the first president of the United States of America?,A. George Washington,B. George Harrison,C. Robert Zemeckis,D. none of these,A
Which two primary colours are mixed to make purple?,A. red and green,B. red and blue,C. red and yellow,D. red and white,B
headquarters of the multinational company Nestle is in?,A. Switzerland,B. Venice,C. Japan,D. Norway,A
Which colour is produced by adding together yellow and cyan,A. Green,B. Red,C. Blue,D. Pink,A
Which country is largest in area?,A. China,B. Canada,C. Russia,D. India,C
The largest planet is?,A. Jupiter,B. Mercury,C. Venus,D. Earth,A
The first prime minister of Bangladesh was,A. Liaqat Ali,B. Mujibur Rehman,C. Yahya Khan,D. Tajuddin Ahmad,D
Hindenburg Line is in between?,A. India and China,B. Germany and Poland,C. France and Germany,D. India and Pakistan,B
Largest Museum in the world is in,A. USA,B. China,C. France,D. Europe,C
The world oldest known city is,A. Tokyo,B. Damascus,C. Paris,D. Beijing,B
Driest place in the world is,A. Atacama Desert(Chile),B. Sahara(Africa),C. Barmer(Rajasthan),D. none of these,A
Which is known as City of Skyscrapers?,A. New York,B. Paris,C. Belgium,D. Chicago,A
The name of which animal is an Aboriginal term meaning ‘no water’?,A. Rat,B. Snake,C. Koala,D. Lizard,C
Which animal has the biggest eyes of any living creature?,A. Elephant,B. Kangaroo,C. Owl,D. Colossal squid,D
"What are the flat, treeless plains of Argentina called",A. Pampas,B. Moss,C. Lichen,D. none of these,A
Attock fort was constructed by?,A. Jahangeer,B. Aurangzeb,C. Akbar,D. none of these,C
Mancher lake situated in?,A. Sawat,B. Dadu,C. Jamshoro,D. Gilgit,C
First China War was fought between,A. China and Britain,B. China and France,C. China and Egypt,D. China and Greek,A
Which Country has the oldest monarchy?,A. Turkey,B. Japan,C. Rome,D. Ireland,B
First Afghan War took place in?,A. 1838,B. 1837,C. 1839,D. 1840,C
ITAR-TASS is the news agency of which country?,A. Russia,B. China,C. India,D. Afghanistan,A
Which food item takes its name from the French for twice cooked,A. burger,B. pizza,C. biscuit,D. none of these,C
Which is the largest Oil Producing Member Country of OPEC?,A. Kuwait,B. Bahrain,C. Qatar,D. Saudi Arabia,D
Which Country is the Second largest Arms Exporter of the World,A. India,B. Russia,C. China,D. America,B
The social network site “Twitter” was launched on,"A. March 21, 2003","B. March 21, 2004","C. March 21, 2005","D. March 21, 2006",D
The monetary unit of Bangladesh is,A. Lek,B. Taka,C. Shilling,D. Kyat,B
The OIC was founded in,A. Saudi Arabia,B. Iraq,C. Qatar,D. Morocco,D
Which SAARC Member Country has Largest Literacy Rate among the following?,A. Bangladesh,B. Sri Lanka,C. China,D. Indonesia,B
The soviet media theory had its roots in,A. Italian Fascist philosophy,B. Free enterprize approach of west,C. German ideology,D. Japanese imperialist edicts,C
The International Monetary Fund (IMF) was established on,A. 27 December 1944,B. 27 December 1945,C. 27 December 1946,D. 27 December 1947,B
The capital of Saudi Arabia is?,A. Makkah,B. Madina,C. Taif,D. Riyadh,D
The National Aeronautics and Space Administration (NASA) was formed in?,A. 1958,B. 1960,C. 1962,D. 1964,A
Thomas Cup is associated with which Game,A. badminton,B. football,C. hockey,D. none of these,A
For which of the following disciplines Nobel Prize is awarded?,A. Physics and Chemistry,B. Physiology or Medicine,"C. Literature, Peace and Economics",D. all of these,D
FFC stands for,A. Foreign Finance Corporation,B. Film Finance Corporation,C. Federation of Football Council,D. none of these,B
"The 6th organ, “Trusteeship Council” of the United Nations suspended operation on November 01, 1994, with the independence of",A. Chad,B. Sudan,C. Palau,D. Tunisia,C
"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of",A. Asia,B. Africa,C. Europe,D. Australia,B
The currency of Qatar is?,A. Dollar,B. Dinar,C. Dirham,D. Riyal,D
7 April is observed internationally as?,A. Women’s Day,B. World Water Day,C. World Health Day,D. Human Rights Day,C
Which sign of the zodiac is also called The Water bearer?,A. Scorpio,B. Leo,C. Gemini,D. Aquarius,D
"Grand Central Terminal, Park Avenue, New York is the world’s",A. largest railway station,B. highest railway station,C. longest railway station,D. none of these,A
The United Nations has how many principal organs,A. 4,B. 5,C. 6,D. 7,C
Which one of the following countries made an exit from Kyoto Protocol in 2011:,A. France,B. India,C. Canada,D. China,C
The largest peninsula in the world is,A. Arabia,B. Asia,C. Africa,D. Europe,A
Largest Arms Importer of the World is,A. Africa,B. Saudi Arabia,C. India,D. Bangladesh,C
Reuters is the news agency of,A. United States,B. United Kingdom,C. France,D. Germany,B
"First human heart transplant operation conducted by Dr. Christian Bernard on Louis Washkansky, was conducted in",A. 1968,B. 1967,C. 1958,D. none of these,B
The Delaware river is in,A. United States,B. Canada,C. China,D. United Kingdom,A
The Suez Canal is in,A. Nigeria,B. Libya,C. Egypt,D. Palestine,C
The oldest news agency in the world is?,A. AFP,B. WAFA,C. BBC,D. CNN,A
The world’s deadliest conflict was?,A. World War I,B. World War II,C. Mongol Conquests,D. Taiping Rebellion,B
The first Secretary General of United Nations was?,A. Dag Hammarskjold,B. Kurt Walheion,C. U Thant,D. Trygve Lie,D
The Smallest Continent (by Area) of the World is,A. Antarctica,B. Australia,C. Africa,D. Europe,B
The Mount Everest lies on the borders between Nepal and,A. Tibet,B. India,C. Bhutan,D. Assam,A
The Wakhan Corridor located to the north of Pakistan belongs to,A. Pakistan,B. Turkmenistan,C. Tajikistan,D. Afghanistan,D
Cordoba is a city of,A. Iraq,B. Mauritania,C. Spain,D. Iran,C
"Libya, Tunisia and Algeria are geographically included in the",A. Far west,B. Central Africa,C. North Africa,D. Asia,C
The Godray Pass is Close to the border of,A. Iran,B. Afghanistan,C. India,D. Arabian Sea,B
What is meaning of “Autophobia”?,A. Fear of automobiles,B. Fear of traffic,C. Fear of being alone,D. Fear of birds,C
Who invented Typewriter,A. Haechel,B. Sholes,C. Einstein,D. Caxton,B
Who was the first Muslim President of India,A. Badar-Ud-Din Tayyab,B. Mahbub-ul-haq,C. Zakir Hussain,D. Sardar Abdul Qayum Khan,C
Abu-Amar was the nicked name of which political leader?,A. Tayyip Erdogan,B. Mamnoon- ur- Rashid,C. Yasir Arafat,D. Anwar- ul- saddat,C
Who served as first postmaster general of the United States?,A. Benjamin Harrison,B. James Madison,C. Franklin Pierce,D. Banjamin Franklin,D
Delhi is situated on the banks of river,A. Yumna river,B. Ganga river,C. Brahamputra river,D. Ravi river,A
Smallest glacier in the world is,A. Gem,B. Pindari,C. Baltoro,D. Batura,A
Saravan & Zabol are the famous town of which country?,A. Iraq,B. Iran,C. Afghanistan,D. Pakistan,B
Which country in Africa was formerly known as Rhodesia?,A. south Africa,B. Zimbabwe,C. Zambia,D. Kenya,B
Spice island is the another alternative name for which of these Indonesian island?,A. Papua New Guinea,B. Moluccas,C. Bali,D. Borneo,B
The IAEA’s genesis was U.S. President Eisenhower’s ________ address to the General Assembly of the United Nations on 8 December 1953,A. Atoms for Health,B. Atoms for Non-Military Purpose,C. Atoms for Peace,D. Atom as Weapon,C
Decisions of SAARC at all levels are taken on the basis of:,A. 2/3 Majority,B. 3/4 Majority,C. Unanimity,D. None of These,C
The term of President of Asian Infrastructure Investment Bank is:___________ Years?,A. 3 Years,B. 4 Years,C. 5 Years,D. 6 Years,C
Asian Infrastructure Investment Bank (AIIB) was granted ‘Permanent Observer status’ in the deliberations of both the United Nations General Assembly and the Economic and Social Council in:____________?,A. 2016,B. 2017,C. 2018,D. 2019,C
The American Museum of Natural History is located in:,A. Washington D.C.,B. New York,C. Los Angeles,D. Dallas,B
According to UNHCR most refugees – 76 per cent – are hosted by ________countries,A. High Income,B. Low Income,C. Middle Income,D. Both (B) and (C),D
Which country joined OPEC two times but decided to suspend its membership again in November 2016?,A. Iran,B. Qatar,C. Indonesia,D. Venezuela,C
Who served as first postmaster general of the United States?,A. Benjamin Harrison,B. James Madison,C. Franklin Pierce,D. Banjamin Franklin,D
Delhi is situated on the banks of river,A. Yumna river,B. Ganga river,C. Brahamputra river,D. Ravi river,A
Smallest glacier in the world is,A. Gem,B. Pindari,C. Baltoro,D. Batura,A
Which one of the world largest rivers flow in a single country?,A. river Nile,B. river Indus,C. river Yangtze,D. Having He,C
Malacca Strait is located between:,A. Andaman sea and South China sea,B. South China sea and East China sea,C. Andaman island and Nikobar island,D. Malay peninsula and Sumatra peninsula,D
The organizational structure of Gulf Cooperation Council (GCC) includes:,A. The Supreme Council,B. The Ministerial Council,C. The Secretariat General,D. All of These,D
Which Animal’s fingerprints match with human?,A. Koala,B. Hamster,C. Kangaroo,D. Monkey,A
Name the first ever female Prime Minister in the world?,A. Benazir Bhutto,B. Indra Gandhi,C. Sirimavo Bandaranaike,D. Golda Meir,C
Headquarter of the Asian Infrastructure Investment Bank (AIIB) is in,A. Thimphu,B. Phnom Penh,C. Beijing,D. Seoul,C
International consortium of investigative journalists (ICIJ) is based at,A. London,B. Berlin,C. Washington,D. Geneva,C
The World’s Famous ‘Louvre Museum’ is located in,A. Australia,B. New Zealand,C. China,D. France,D
National Day of Finland is celebrated on,A. 4th Dec,B. 5th Dec,C. 6th Dec,D. 7th Dec,C
There are ____European Union delegations worldwide:,A. 100,B. 170,C. 144,D. 45,C
Diplomatic missions of European Union are called:,A. Embassies,B. High Commission,C. Delegations,D. None of These,C
Which country’s army is called Tatmadaw?,A. South Africa,B. Myanmar,C. Laos,D. Thailand,B
Which is known as Queen of Lakes in Pakistan?,A. Dudipatsar,B. Saiful Malook,C. Rawal jheel,D. None of these,A
Which of the following Forts is known as ‘The Great Wall of Sindh’?,A. Naukot Fort,B. Bukkur Fort,C. Schwan Fort,D. Ranikot Fort,D
Capital of Vanuatu is:,A. Porto Alegre,B. Porto Velho,C. Port Vila,D. Porto Torres,C
How many countries are considered to be nuclear-weapon states under the The Nuclear Threat Initiative (NPT)?,A. 3,B. 5,C. 7,D. 9,B
Rafah crossing is sole crossing point between which of the two counrtries?,A. lebanon and israel,B. Jordon and Gaza,C. Egypt and Gaza strip,D. None of These,C
East and West Germany re-united on,"A. 3, Oct 1990","B. 4, Oct 1990","C. 5, Oct 1990",D. None of these,A
When Helen Keller day observed every year?,A. 25 June,B. 26 June,C. 27 June,D. None of These,C
Anthropology is study of,A. Culture,B. Society,C. Human,D. Animal,C
When did World Trade Organization replace General Agreement on Tariffs and Trade (GATT)?,A. 1st January 1995,B. 1st January 1998,C. 1st December 1999,D. 1st June 2000,A
which country has 13 months in a year?,A. Eritrea,B. Ethiopia,C. Gabon,D. Gambia,B
The commitment to the US lunar mission was announced by which president in May 1961?,A. Richard Nixon,B. Abraham Lincoln,C. George Washington,D. John F. Kennedy,D
International Youth Day is observed every year on,A. 10 August,B. 11 August,C. 12 August,C. 13 August,C
American boxer Muhammad Ali died in,A. 2014,B. 2015,C. 2016,D. 2017,C
Which Indian city is known as ” Scotland of India”?,A. Dharamshala,B. Coorg,C. Manali,D. Darjeeling,B
Which Indian State is world famous for it’s backwaters?,A. Himachal Pradesh,B. Tamil Nadu,C. Kerala,D. Goa,C
"Suneung ,often called the world’s toughest exam ,is held in",A. Japan,B. China,C. South Korea,D. Thialand,C
Bucharest is the capital and largest city of:,A. Cuba,B. Romania,C. Thialand,D. Cambodia,B
Which two water bodies are connected by world’s longest strait?,A. Andaman Sea &South China Sea,B. Pacific Ocean &Indian Ocean,C. Indonesia & Malaysia,D. Both A & B,D
Which one of the following is not an archipelago?,A. Indonesia,B. Maldives,C. Korea,D. Japan,C
How many languages in the world?,"A. 7,139",B. 7500,C. 8300,D. 9000,A
Which game is called ‘Game of Kings’?,A. Cricket,B. Polo,C. Chess,D. All of these,C
In which year Eiffel tower completed?,A. 31 March 1889,B. 21 March 1890,C. 11 March 1891,D. 15 March 1892,A
In Which Country there is a ” Human Library ” where one can borrow a Person instead of a Book?,A. Denmark,B. Sweden,C. Norway,D. Mexico,A
Which language has the word “Ideology” been taken from?,A. English,B. Greek,C. French,D. None of These,C
"Sungir archaeological site is one of the earliest records of modern Homo Sapiens in Eurasia. It is situated near the ____ River in Vladimir, Russia",A. Neva,B. Dvina,C. Klyazma,D. Volga,C
Sungir archaeological site was discovered in _____ and archaeologist believe that it is ______ years-old burial site,"A. 1950 and 30,000","B. 1955 and 30,000","C. 1960 and 32,000","D. 1962 and 32,000",B
Urdu book “Arabi Adab Qabl Az Islam” (Arabic literature before Islam) is written by:,A. Nazir Ahmad Dehlvi,B. Mirza Hadi Ruswa,C. Dr. Khursheed Rizvi,D. Patras Bukhari,C
"For how many years, the United States stayed in Afghanistan?",A. 10,B. 15,C. 20,D. 25,C
Who is better known as “Sayed Ahmad Shah” in following famous writers?,A. Patras Bukhari,B. Ahmad Faraz,C. Ustad Bukhari,D. All of these,D
“Al-Kitāb al-mukhtaṣar fī ḥisāb al-jabr wa’l-muqābala” was written by:,A. Al-Khuwarizmi,B. Ibne Sina,C. Al Haysam,D. None of these,A
Where is Lotus Temple?,A. New Delhi,B. Mumbai,C. Uttar Pardesh,D. Himachal,A
Azlan Shah Hockey Stadium is in,A. Turkey,B. Singapore,C. Malaysia,D. Pakistan,C
"Every year on 14th July, Bastille Day is celebrated by:",A. Germany,B. Japan,C. France,D. America,C
Al Manjid (المنجد) is an,A. Arabic Dictionary,B. Arabic prose,C. Arabic written script,D. None,A
Where is the tomb of famous Muslim sciencetist “Al- Biruni”?,A. Iran,B. Egypt,C. Tajikistan,D. Afghanistan,D
Istiqlal Masjid is in,A. Turkey,B. India,C. Malaysia,"D. Jakarta, Indonesia",D
Largest river of South Africa is,A. Vall River,B. Orange River,C. Table River,D. Red River,B
Sea of Galilee is located in which country?,A. Lebanon,B. Northern Israel,C. Jordan,D. Syria,B
Who is the Author of “A Case of Exploding Mangoes”?,A. Mohsin Hamid,B. Allama Iqbal,C. Muhammad Hanif,D. Kamila Shamsi,C
Samma dynasty was started in Sindh on,A. 1350,B. 1351,C. 1352,D. None of These,B
International Committee of the Red Cross (ICRC) headquarters is in,A. London,B. New york,C. Vienna,D. Geneva,D
who invented a knitting machine?,A. Johan kay,B. William lee,C. Emily berliner,D. Johan D issacs,B
Who has written the book “Das Capital”?,A. Karl Marx,B. Lenin,C. Stalin,D. None,A
What is the national bird of Israel?,A. Goose,B. Woodpecker,C. Parrot,D. Hoopoe,D
How many distance between Spain and Morocco along Strait of Gibraltar?,A. 12km,B. 13km,C. 16km,D. None of These,B
Which president resigned in the American history,A. Abraham Lincoln,B. Richard Nixon,C. John F. Kennedy,D. George W. Bush,B
Who is the only Indian recipient of Nishan-e-Pakistan?,A. Man Mohan Singh,B. Abdul Kalam Azad,C. Morarji Desai,D. Gandhi,C
Treaty of Lausanne was signed in,A. 1922,B. 1923,C. 1924,D. 1925,B
National juice of Pakistan is,A. Mango juice,B. Orange juice,C. Apple juice,C. Sugarcane juice,C
Which book is written on the life of Sir Syed Ahmad Khan,A. Spirit of Islam,B. Aab-e- Hayat,C. Hayat-e-jawaid,D. Pir-e-Kamil,C
Term double fault is associated with:,A. BaseBall,B. Footbal,C. Tennis,D. Rugby,C
Who is writer of the book ”A brief history of time ”?,A. Stephen covey,B. Carl Sagan,C. Stephen Hawking,D. steven Weinberg,C
The book “Wealth of Nations” was written by?,A. Adam Smith,B. Karl Marx,C. Steve Smith,D. Shakespeare,A
Which is coldest city in the world?,A. Antarctica,B. Yakutsk,C. Alaska,D. Dalarna,B
Which country has the oldest flag of the world?,A. America,B. Denmark,C. Japan,D. None of these,B
Nurek Dam in Tajikistan is constructed on which river?,A. Aral River,B. Euphrates River,C. Vakhsh River,D. Caspian River,C
Which country’s birth rate falls to an all time-low:,A. South korea,B. Japan,C. Sweden,D. None of these,A
Cuban revolutionary leader “Che Guevara” was by profession,A. Teacher,B. Physician,C. Lawyer,D. None,B
Word “Markhor” has been derived from Persian language which means?,A. Snake Eater,B. Intelligent Animal,C. Dead Animal,D. None,A
"What was the tenure of the only Acting Secretary General of the UN, Gladwyn Jebb?","A. 24 Sep, 1945 to 1 Feb, 1946","B. 24 Nov, 1956 to 10 Feb, 1945","CC. 10 Feb, 1946 to 24 Oct, 1946","D. 24 Oct, 1945 to 1 Feb, 1946",D
Who is first lady fighter pilot of Pakistan?,A. Gazala Suleiman,B. Maliha Sami,C. Shukerya Khanam,D. Ayesha Farooq,D
ICU stands for,A. Intensive Care Unit,B. Identifying Charging Unit,C. Intensive Control Unit,D. International Conference on Unity,A
Rawan the worlds first girl with down syndrome to memorize the entire Holy Quran is from which country?,A. Egypt,B. Sweden,C. Qatar,D. Jordan,D
Which country’s trains are the world’s most punctual trains?,A. Japan,B. China,C. USA,D. Germany,A
United States purchased Alaska at what amount of the million dollars from Russia in 1867?,A. $7.0 million,B. $7.2 million,C. $7.5 million,D. $7.8 million,B
Name the animal who sleep by one eye open,A. Starfish,B. Shark,C. Elephent,D. Dolphin,D
Which is the only Asian country represented in the G-7 Groups?,A. Japan,B. India,C. China,D. Malaysia,A
Which River crosses the Equator twice?,A. Congo River,B. Indus River,C. Amazon River,D. Nile River,A
International Children’s Day is observed on,A. 20 February,B. 1st June,C. 1st March,D. 20 November,D
Who is the first Asian American to feature on US currency?,A. Anna May Wong,B. Elizabeth Sung,C. Jadin Wong,D. Vera Wong,A
“The Amazon Fund” is maintained by which financial institution?,A. World Bank,B. IMF,C. New Development Bank,D. Brazilian Development Bank,D
“Gateway to the Underworld” is an artefact belonging to which country?,A. India,B. Sri Lanka,C. Mexico,D. USA,C
Grasslands found in Africa are called?,A. Prairies,B. Steppes,C. Savannah,D. Pampass,C
What is the underwater mountain system formed by plate tactonic spreading called?,A. Mid oceanic Ridge,B. Oceanic Trench,C. Continental Slope,D. Abyssal Plains,A
Which is the southernmost active volcano on earth?,A. Mount Dukono,B. Mount Rainier,C. Mount Semeru,D. Mount Erebus,D
Which country is the largest producer of desalinated sea water?,A. Kuwait,B. Iran,C. Saudi Arabia,D. Iraq,C
Continent which has no active volcanic regions is,A. North America,B. Europe,C. Australia,D. Africa,C
"When you transport something by Ship, it’s called",A. Consignment,B. Cargo,C. Shipment,D. Transportation,B
The Oldest University in the World is,A. Cambridge University,B. Oxford University,C. University of Bologna,D. University of Warwick,C
Gashoo lake is located in,A. Punjab,B. Khyber Pakhtunkhwa,C. Kashmir,D. Gilgit Baltistan,D
Paraguay is a country located in which continent?,A. South America,B. Africa,C. Europe,D. None of These,A
Tipu Sultan wrote a letter to which government to help him against British Army rule in India?,A. Germany,B. France,C. Turkey,D. iran,B
The total area of the earth is greater than the area of US?,A. 10times,B. 52times,C. 20times,D. 29times,B
NATO Space Centre of Excellence has been established in?,A. Germany,B. Lithuania,C. Belgium,D. France,D
Chairman of NATO Military Committee is appointed for?,A. Three years,B. Four years,C. Five years,D. Six years,A
NATO Secretary General Jens Stoltenberg belongs to which country?,A. Norway,B. Poland,C. USA,D. France,A
